Identifier,Tag: Name,Service,Type,Region,Tag: CostCentre,Tag: Domain,Tag: Environment,Tag: ManagedStackSource,Tag: aws:cloudformation:logical-id,Tag: aws:cloudformation:stack-id,Tag: aws:cloudformation:stack-name,Tag: lambda:createdBy,Tags
ds018-annualcelreport-LoadFunction-15LQPKHHRHJV3,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),LoadFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds018-annualcelreport/fadde060-d664-11ea-8750-1214c28caebf,ds018-annualcelreport,SAM,4
ds055-staffingpendingfilled-ExtractFunction-WVx6zTUhHHup,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),ExtractFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds055-staffingpendingfilled/24b429a0-d3bd-11ed-ab72-0a9ba2e7006d,ds055-staffingpendingfilled,SAM,4
ds055-staffingpendingfilled-PreIngestionFunction-11B2klyB0Ckn,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),PreIngestionFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds055-staffingpendingfilled/24b429a0-d3bd-11ed-ab72-0a9ba2e7006d,ds055-staffingpendingfilled,SAM,4
ds015-lbpabatement-TransformFunction-183T2DEZJ12AR,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),TransformFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds015-lbpabatement/a0b00ce0-d663-11ea-b1c5-0ac853a0932f,ds015-lbpabatement,SAM,4
ds037-incentivemgmtfees-TransformFunction-S65Z7pSGlCUF,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),TransformFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds037-incentivemgmtfees/4de37670-9b59-11ec-a4cf-0e2373c16185,ds037-incentivemgmtfees,SAM,4
ds047-staffingkeypolicydates-ExtractFunction-cmVzcwqNP2V9,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),ExtractFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds047-staffingkeypolicydates/0ec1f040-0ed4-11ed-8e1b-0eb7cabfb9c9,ds047-staffingkeypolicydates,SAM,4
ds046-staffingturnovertrainingdates-LoadFunction-622unGjz08k1,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),LoadFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds046-staffingturnovertrainingdates/9262ecc0-0d43-11ed-aa33-129988deb823,ds046-staffingturnovertrainingdates,SAM,4
ds020-birddogadpmapping-LoadFunction-EGQM75VVKOOU,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),LoadFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds020-birddogadpmapping/56127580-d666-11ea-8d3c-0e71a2c850a7,ds020-birddogadpmapping,SAM,4
ds009-adp-LoadFunction-1JTI917P5GIE4,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),LoadFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds009-adp/df7e67c0-d65c-11ea-a528-0e660dd6b3d4,ds009-adp,SAM,4
ds043-staffingturnoverdetail-ExtractFunction-eD11K6SWg6Ss,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),ExtractFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds043-staffingturnoverdetail/3132bec0-03d5-11ed-90e2-0af0e7f56f01,ds043-staffingturnoverdetail,SAM,4
ds054-staffingbudgetedheadcount-LoadFunction-zy9Je6GsCJ2A,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),LoadFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds054-staffingbudgetedheadcount/61b0c3b0-c3fd-11ed-a066-0a404dda2677,ds054-staffingbudgetedheadcount,SAM,4
ds044-staffingturnoversummary-PreIngestionFunction-qd8S0resLfBz,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),PreIngestionFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds044-staffingturnoversummary/5bb53ef0-0864-11ed-8cb8-0e2f1a71649d,ds044-staffingturnoversummary,SAM,4
ds042-sideways6-TransformFunction-GQt8CwMNrNnL,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),TransformFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds042-sideways6/cc0210c0-0904-11ed-ba0a-0acdbdb96775,ds042-sideways6,SAM,4
ds008-birddog-TransformFunction-DOSCDxfMHICw,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),TransformFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds008-birddog/ac65a020-221d-11ec-9cce-125bddb2acd9,ds008-birddog,SAM,4
ds041-commanderevaluations-TransformFunction-gblNjUIMoIxl,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),TransformFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds041-commanderevaluations/87b3a990-e129-11ec-b400-0e9003145d31,ds041-commanderevaluations,SAM,4
ds013-displacedresidents-LoadFunction-F3KKQLW42GRI,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),LoadFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds013-displacedresidents/f6953700-d660-11ea-9758-0e6b672d4ae7,ds013-displacedresidents,SAM,4
ds010-location-ExtractFunction-1NHIKJLBCPL37,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),ExtractFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds010-location/3ece2a70-d65e-11ea-aa87-0e794c84352f,ds010-location,SAM,4
ds018-annualcelreport-TransformFunction-VANU47GDOZZ3,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),TransformFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds018-annualcelreport/fadde060-d664-11ea-8750-1214c28caebf,ds018-annualcelreport,SAM,4
ds022-birddoglocation-ExtractFunction-19NB8TVSYN48,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),ExtractFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds022-birddoglocation/00a365c0-d669-11ea-a2dd-0e4c53e0aefd,ds022-birddoglocation,SAM,4
ds025-staffbudgetcodes-ExtractFunction-BWL8X1YA0G7B,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),ExtractFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds025-staffbudgetcodes/5751d680-d66a-11ea-817b-0e1cfc6fd327,ds025-staffbudgetcodes,SAM,4
ds023-adplocation-PreIngestionFunction-1GRULJR736YMW,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),PreIngestionFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds023-adplocation/bac6d8e0-d66b-11ea-baca-121b58656156,ds023-adplocation,SAM,4
ds033-dcrprojectmapping-PreIngestionFunction-Bz2KOErYPUcS,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),PreIngestionFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds033-dcrprojectmapping/cc4fa580-205a-11ec-a44b-0a6da4dd8b6b,ds033-dcrprojectmapping,SAM,4
ds039-riadata-LoadFunction-I0hktrFgrAUe,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),LoadFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds039-riadata/b07e40c0-a181-11ec-873c-0ea9debfa557,ds039-riadata,SAM,4
ds049-complaints-TransformFunction-K21fMNYpLsOa,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),TransformFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds049-complaints/ccfc2de0-b77c-11ed-9635-125478ba393d,ds049-complaints,SAM,4
ds046-staffingturnovertrainin-PreIngestionFunction-q4NOm7j1w355,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),PreIngestionFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds046-staffingturnovertrainingdates/9262ecc0-0d43-11ed-aa33-129988deb823,ds046-staffingturnovertrainingdates,SAM,4
ds034-staffing-PreIngestionFunction-IUALNN3Tmxf6,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),PreIngestionFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds034-staffing/6b325ae0-47ce-11ec-9866-0a6822989155,ds034-staffing,SAM,4
ds053-complaintsmonthlysnapshot-ExtractFunction-f1WDN7sVwmuU,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),ExtractFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds053-complaintsmonthlysnapshot/a37eeb90-9e5b-11ed-a13a-0eea8eb3e84f,ds053-complaintsmonthlysnapshot,SAM,4
ds010-location-PreIngestionFunction-LM2LM9U5MYM8,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),PreIngestionFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds010-location/3ece2a70-d65e-11ea-aa87-0e794c84352f,ds010-location,SAM,4
ds044-staffingturnoversummary-TransformFunction-l5wTu8SnurGM,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),TransformFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds044-staffingturnoversummary/5bb53ef0-0864-11ed-8cb8-0e2f1a71649d,ds044-staffingturnoversummary,SAM,4
ds054-staffingbudgetedheadcou-PreIngestionFunction-uZjBwpdj9td2,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),PreIngestionFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds054-staffingbudgetedheadcount/61b0c3b0-c3fd-11ed-a066-0a404dda2677,ds054-staffingbudgetedheadcount,SAM,4
ds049-complaints-PreIngestionFunction-uzfmUVruxTld,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),PreIngestionFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds049-complaints/ccfc2de0-b77c-11ed-9635-125478ba393d,ds049-complaints,SAM,4
ds006-lifeworks-ExtractFunction-1NXA8RZR4ZKCR,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),ExtractFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds006-lifeworks/d75c7bd0-d658-11ea-b4b8-0ee5b74c6229,ds006-lifeworks,SAM,4
ds041-commanderevaluations-LoadFunction-YiuJKnm65NuK,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),LoadFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds041-commanderevaluations/87b3a990-e129-11ec-b400-0e9003145d31,ds041-commanderevaluations,SAM,4
ds032-dcr-ExtractFunction-FTS5uceI1MOJ,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),ExtractFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds032-dcr/a4465f20-205f-11ec-980c-0ae9b1293849,ds032-dcr,SAM,4
ds004-rentcafe-TransformFunction-6D351G84T8JJ,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),TransformFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds004-rentcafe/9610b0c0-d652-11ea-835f-127c6c2d7f71,ds004-rentcafe,SAM,4
ds020-birddogadpmapping-TransformFunction-1FBPBLV7WHA3C,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),TransformFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds020-birddogadpmapping/56127580-d666-11ea-8d3c-0e71a2c850a7,ds020-birddogadpmapping,SAM,4
